date,weekday,selection,rank,market,relative_best_hall,predicted_mean,adjusted_edge,utility_edge,travel_minutes,travel_penalty,confidence,reason,risk_flags,shibuya_pick,shibuya_rank,toyoko_pick,toyoko_rank,mizonokuchi_pick,mizonokuchi_rank,fukutoshin_pick,fukutoshin_rank,ikegami_pick,ikegami_rank,kamata_pick,kamata_rank,keikyu_pick,keikyu_rank,ooimachi_pick,ooimachi_rank,yokohama_pick,yokohama_rank,tsurumi_pick,tsurumi_rank,kawasaki_pick,kawasaki_rank,center_minami_pick,center_minami_rank,kashimada_pick,kashimada_rank
2026-07-15,水,マルハンメガシティ2000蒲田7,B,蒲田,マルハンメガシティ2000蒲田7,91.0,41.0,33.0,18,8.0,0.9184,通常ベース,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-07-16,木,マルハン新宿東宝ビル店,A,副都心線北上,マルハン新宿東宝ビル店,123.1,73.1,45.1,38,28.0,0.8182,6のつく日・補助,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハン新宿東宝ビル店,A,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-07-17,金,YASUDA7（東池袋7号店）,S,副都心線北上,YASUDA7（東池袋7号店）,213.7,163.7,135.7,38,28.0,0.7037,7のつく日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,YASUDA7（東池袋7号店）,S,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,A,みとや大森町店,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-07-18,土,マルハンメガシティ2000蒲田7,A,蒲田,マルハンメガシティ2000蒲田7,159.8,109.8,101.8,18,8.0,0.6667,土曜,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハンメガシティ2000蒲田7,A,見送り,NO BET,BIGディッパー大井町店,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-07-19,日,エスパス日拓渋谷駅前新館,S,渋谷,エスパス日拓渋谷駅前新館,217.1,167.1,155.1,22,12.0,0.619,本館閉店後の日曜,[],エスパス日拓渋谷駅前新館,S,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-07-20,月,BIGディッパー戸越銀座店,B,池上線,BIGディッパー戸越銀座店,169.6,119.6,111.6,18,8.0,0.6522,1日・20日（絶対水準）,"[""祝日""]",見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-07-21,火,マルハン池袋 SLOT BASE,S,副都心線北上,マルハン池袋 SLOT BASE,431.4,381.4,353.4,38,28.0,0.5294,21日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハン池袋 SLOT BASE,S,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-07-22,水,マルハン池袋 SLOT BASE,A,副都心線北上,マルハン池袋 SLOT BASE,189.1,139.1,111.1,38,28.0,0.5294,22日,[],エスパス日拓渋谷駅前新館,A,見送り,NO BET,見送り,NO BET,マルハン池袋 SLOT BASE,A,見送り,NO BET,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,C
2026-07-23,木,マルハン新宿東宝ビル店,A,副都心線北上,マルハン新宿東宝ビル店,158.5,108.5,80.5,38,28.0,0.6,23日・やばたにえん,[],見送り,NO BET,見送り,NO BET,エスパス日拓溝の口駅前新館,A,マルハン新宿東宝ビル店,A,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,B,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-07-24,金,みとや大森町店,A,京急線,みとや大森町店,163.0,113.0,75.0,48,38.0,0.7037,4のつく日,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,マルハン新宿東宝ビル店,A,見送り,NO BET,マルハンメガシティ2000蒲田7,B,みとや大森町店,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-07-25,土,マルハンメガシティ2000蒲田7,A,蒲田,マルハンメガシティ2000蒲田7,159.8,109.8,101.8,18,8.0,0.6667,土曜,[],見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,BIGディッパー戸越銀座店,B,マルハンメガシティ2000蒲田7,A,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
2026-07-26,日,エスパス日拓渋谷駅前新館,S,渋谷,エスパス日拓渋谷駅前新館,217.1,167.1,155.1,22,12.0,0.619,本館閉店後の日曜,[],エスパス日拓渋谷駅前新館,S,見送り,NO BET,見送り,NO BET,マルハン池袋 SLOT BASE,A,見送り,NO BET,見送り,C,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET,見送り,NO BET
