hall_id,result_date,avg_diff,avg_games,machine_win_rate,total_units,source_name
mizonokuchi_slot_act,2025-12-05,32,1652,,284,slorepo
mizonokuchi_slot_act,2025-12-06,-287,2509,,284,slorepo
mizonokuchi_slot_act,2025-12-07,-128,3429,,284,slorepo
mizonokuchi_slot_act,2025-12-08,-163,1344,,284,slorepo
mizonokuchi_slot_act,2025-12-09,-130,1433,,284,slorepo
mizonokuchi_slot_act,2025-12-10,-83,1636,,284,slorepo
mizonokuchi_slot_act,2025-12-11,-153,1698,,284,slorepo
mizonokuchi_slot_act,2025-12-12,-219,1507,,284,slorepo
mizonokuchi_slot_act,2025-12-13,-38,2641,,284,slorepo
mizonokuchi_slot_act,2025-12-14,-178,2065,,284,slorepo
mizonokuchi_slot_act,2025-12-15,-169,1897,,284,slorepo
mizonokuchi_slot_act,2025-12-16,-117,1616,,284,slorepo
mizonokuchi_slot_act,2025-12-17,-183,2527,,284,slorepo
mizonokuchi_slot_act,2025-12-18,-170,1373,,284,slorepo
mizonokuchi_slot_act,2025-12-19,-32,1630,,284,slorepo
mizonokuchi_slot_act,2025-12-20,-172,2804,,284,slorepo
mizonokuchi_slot_act,2025-12-21,-230,2422,,284,slorepo
mizonokuchi_slot_act,2025-12-22,39,2974,,284,slorepo
mizonokuchi_slot_act,2025-12-23,-98,1486,,284,slorepo
mizonokuchi_slot_act,2025-12-24,-114,1198,24,284,slorepo
mizonokuchi_slot_act,2025-12-25,-74,1463,,284,slorepo
mizonokuchi_slot_act,2025-12-26,-160,1958,,284,slorepo
mizonokuchi_slot_act,2025-12-27,-4,3729,,284,slorepo
mizonokuchi_slot_act,2025-12-28,-64,2532,,284,slorepo
mizonokuchi_slot_act,2025-12-29,-148,2651,,284,slorepo
mizonokuchi_slot_act,2025-12-30,-372,2707,,284,slorepo
mizonokuchi_slot_act,2025-12-31,-153,1583,,284,slorepo
mizonokuchi_slot_act,2026-01-01,-27,1803,,284,slorepo
mizonokuchi_slot_act,2026-01-02,-91,2401,,284,slorepo
mizonokuchi_slot_act,2026-01-03,-290,2885,,284,slorepo
mizonokuchi_slot_act,2026-01-04,-302,2604,,284,slorepo
mizonokuchi_slot_act,2026-01-05,-49,1910,,284,slorepo
mizonokuchi_slot_act,2026-01-06,-2,1808,,284,slorepo
mizonokuchi_slot_act,2026-01-07,-3,2550,,284,slorepo
mizonokuchi_slot_act,2026-01-08,-202,1499,,284,slorepo
mizonokuchi_slot_act,2026-01-09,69,1814,,284,slorepo
mizonokuchi_slot_act,2026-01-10,-146,2900,,284,slorepo
mizonokuchi_slot_act,2026-01-11,-410,4080,,284,slorepo
mizonokuchi_slot_act,2026-01-12,-289,2845,,284,slorepo
mizonokuchi_slot_act,2026-01-13,106,1577,,284,slorepo
mizonokuchi_slot_act,2026-01-14,-104,1414,,284,slorepo
mizonokuchi_slot_act,2026-01-15,-100,1595,,284,slorepo
mizonokuchi_slot_act,2026-01-16,-183,1611,,284,slorepo
mizonokuchi_slot_act,2026-01-17,-87,3886,,284,slorepo
mizonokuchi_slot_act,2026-01-18,-322,2487,,284,slorepo
mizonokuchi_slot_act,2026-01-19,16,1580,,284,slorepo
mizonokuchi_slot_act,2026-01-20,-41,1691,,284,slorepo
mizonokuchi_slot_act,2026-01-21,-160,1411,,284,slorepo
mizonokuchi_slot_act,2026-01-22,-47,2717,,284,slorepo
mizonokuchi_slot_act,2026-01-23,6,1836,,284,slorepo
mizonokuchi_slot_act,2026-01-24,-413,3154,,284,slorepo
mizonokuchi_slot_act,2026-01-25,-129,2772,,284,slorepo
mizonokuchi_slot_act,2026-01-26,-38,1495,,284,slorepo
mizonokuchi_slot_act,2026-01-27,-174,2156,,284,slorepo
mizonokuchi_slot_act,2026-01-28,25,1495,,284,slorepo
mizonokuchi_slot_act,2026-01-29,-139,1459,,284,slorepo
mizonokuchi_slot_act,2026-01-30,-257,1548,,284,slorepo
mizonokuchi_slot_act,2026-01-31,-292,2979,,284,slorepo
mizonokuchi_slot_act,2026-02-01,-338,2764,,284,slorepo
mizonokuchi_slot_act,2026-02-02,-49,1812,,284,slorepo
mizonokuchi_slot_act,2026-02-03,-132,1681,,284,slorepo
mizonokuchi_slot_act,2026-02-04,-75,1717,,284,slorepo
mizonokuchi_slot_act,2026-02-05,-93,1631,,284,slorepo
mizonokuchi_slot_act,2026-02-06,-83,1605,,284,slorepo
mizonokuchi_slot_act,2026-02-07,-115,3383,,284,slorepo
mizonokuchi_slot_act,2026-02-08,-125,1977,,284,slorepo
mizonokuchi_slot_act,2026-02-09,-90,1379,,284,slorepo
mizonokuchi_slot_act,2026-02-10,-183,1386,,284,slorepo
mizonokuchi_slot_act,2026-02-11,-365,3876,,284,slorepo
mizonokuchi_slot_act,2026-02-12,-115,1256,,284,slorepo
mizonokuchi_slot_act,2026-02-13,-176,1519,,284,slorepo
mizonokuchi_slot_act,2026-02-14,-294,3022,,284,slorepo
mizonokuchi_slot_act,2026-02-15,-358,2550,,284,slorepo
mizonokuchi_slot_act,2026-02-16,-125,1273,23,284,slorepo
mizonokuchi_slot_act,2026-02-17,-157,2207,33,284,slorepo
