hall_id,result_date,avg_diff,total_diff,avg_games,machine_win_rate,winning_units,total_units,source_name
kashimada_asahi2,2026-01-02,1,104,6726,,,104,minrepo_day02_summary
kashimada_asahi2,2026-01-12,-229.0192307692,-23818,7115,,,104,minrepo_full104_reconstructed
kashimada_asahi2,2026-01-22,461,47944,5502,,,104,minrepo_day22_summary
kashimada_asahi2,2026-02-02,-54.7596153846,-5695,6281,,,104,minrepo_full104_reconstructed
kashimada_asahi2,2026-02-12,-24.9519230769,-2595,5775,,,104,minrepo_full104_reconstructed
kashimada_asahi2,2026-02-22,-33.0288461538,-3435,7121,,,104,minrepo_full104_reconstructed
kashimada_asahi2,2026-03-02,5,520,6021,,,104,minrepo_day02_summary
kashimada_asahi2,2026-03-12,335,34840,6607,,,104,minrepo_day12_summary
kashimada_asahi2,2026-03-22,197,20488,7128,,,104,minrepo_day22_summary
kashimada_asahi2,2026-04-02,366,38064,6144,,,104,minrepo_day02_summary
kashimada_asahi2,2026-04-12,152,15808,7359,,,104,minrepo_day12_summary
kashimada_asahi2,2026-04-22,188,19552,6096,,,104,minrepo_day22_summary
kashimada_asahi2,2026-05-02,277,28808,7577,,,104,minrepo_day02_summary
kashimada_asahi2,2026-05-12,-292.0,-30368,5836,,,104,minrepo_full104_reconstructed
kashimada_asahi2,2026-05-22,-401.4326923077,-41749,6177,,,104,minrepo_full104_reconstructed
kashimada_asahi2,2026-06-02,345,35870,6859,,,104,minrepo_day02_summary
kashimada_asahi2,2026-06-12,171,17740,6463,,,104,minrepo_day12_summary
kashimada_asahi2,2026-06-22,335,34810,6996,,,104,minrepo_day22_summary
kashimada_asahi2,2026-07-02,563,58510,7784,,,104,minrepo_day02_summary
kashimada_asahi2,2026-07-12,98,10170,7780,,,104,minrepo_day12_summary
kashimada_asahi2,2024-12-28,442,46010,7884,,,104,minrepo_anniversary_history
kashimada_asahi2,2025-12-28,278,28930,6719,,,104,minrepo_anniversary_history
