hall_id,result_date,machine_key,machine_name,units,avg_diff,avg_games,winning_units,total_units,selected_flag,source_name
ikegami_big_dipper_togoshi_ginza,2025-12-01,bd_405bd1d670dc,スマスロ新鬼武者3,6,3412.0,7344.0,3,6,1,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2025-12-01,bd_8bf2967c530b,桃太郎電鉄～パチスロも定番！～,2,2193.0,4187.0,1,2,1,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2025-12-01,bd_50a2cfbc9023,吉宗,3,1701.0,2924.0,3,3,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2025-12-01,bd_8b923f6423ea,スマスロ 東京リベンジャーズ,5,1433.0,4538.0,1,5,1,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2025-12-01,bd_2191462ac6f1,沖ドキ！ＧＯＬＤ,3,1296.0,3175.0,3,3,1,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2025-12-01,bd_3fbc8dc4c452,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,6,1254.0,8041.0,4,6,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2025-12-01,bd_a47d8992311f,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,16,883.0,6577.0,10,16,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2025-12-01,bd_03e02a1ae935,L ToLOVEるダークネス,5,875.0,1574.0,1,5,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2025-12-01,bd_08fe3e1d242c,アレックス ブライト,2,869.0,6392.0,1,2,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2025-12-01,bd_1c14e9616969,Lパチスロ炎炎ノ消防隊,5,598.0,4908.0,3,5,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2025-12-01,bd_7e26b36032cf,Lパチスロからくりサーカス,15,539.0,5959.0,8,15,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2025-12-01,bd_3e5bf1d252af,Lアズールレーン THE ANIMATION,3,413.0,4114.0,1,3,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2025-12-01,bd_b07025d61a6a,L主役は銭形5,3,377.0,4206.0,2,3,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2025-12-01,bd_d2555de17260,ミスタージャグラー,4,340.0,2600.0,3,4,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2025-12-01,bd_85d00996a1a4,ネオアイムジャグラーEX,3,170.0,3401.0,2,3,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2025-12-01,bd_c7bcbf5cb320,L戦国乙女４　戦乱に閃く炯眼の軍師,5,159.0,4597.0,2,5,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2025-12-01,bd_bf3b322af827,L少女☆歌劇 レヴュースタァライト -The SLOT-,3,14.0,2374.0,1,3,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2025-12-01,bd_7271c1c787a8,Lパチスロ革命機ヴァルヴレイヴ,4,-128.436,6116.0,2,4,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2025-12-01,bd_9f723e33636b,マイジャグラーV,32,-151.368,2968.0,9,32,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2025-12-01,bd_76e578be9b34,スマスロ 七つの魔剣が支配する,3,-186.66,732.0,0,3,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2025-12-01,bd_e564631a7f3c,A-SLOT+ ディスクアップ ULTRAREMIX,3,-190.536,1868.0,1,3,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2025-12-01,bd_33f9d50dd892,いざ！番長,5,-370.386,6498.0,1,5,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2025-12-01,bd_4c189a0cb278,ファンキージャグラー２ＫＴ,3,-369.075,4921.0,1,3,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2025-12-01,bd_e4dc23c0c987,L東京喰種,7,-388.113,6809.0,4,7,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2025-12-01,bd_0ee758a2996c,ウルトラミラクルジャグラー,5,-399.168,3168.0,0,5,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2025-12-01,bd_c45097e5509b,Lスマスロ北斗の拳,4,-625.59,2317.0,1,4,0,min-repo_machine_detail
