hall_id,result_date,avg_diff,avg_games,machine_win_rate,winning_units,total_units,source_name
shibuya_rakuen_ekimae,2026-06-01,73,5212,0.40,127,319,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-02,128,3559,0.41,130,319,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-03,4,2928,0.34,108,319,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-04,26,3481,0.40,128,319,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-05,-138,4069,0.37,118,319,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-06,123,6282,0.41,132,319,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-07,-127,4332,0.38,122,319,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-08,43,3633,0.43,142,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-09,-93,3689,0.40,131,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-10,44,3680,0.40,131,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-11,219,4641,0.42,137,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-12,-184,3695,0.32,104,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-13,160,4541,0.44,143,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-14,-41,4598,0.39,129,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-15,-114,4254,0.37,120,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-16,-20,3584,0.35,116,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-17,-108,3625,0.34,111,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-18,-226,3454,0.34,110,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-19,-23,4089,0.39,126,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-20,54,4300,0.45,147,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-21,-302,3781,0.35,113,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-22,211,4778,0.43,139,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-23,-12,3988,0.37,122,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-24,-132,3451,0.38,125,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-25,67,4051,0.41,135,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-26,-2,4081,0.39,128,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-27,69,5189,0.40,130,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-28,-99,5677,0.42,137,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-29,235,4212,0.37,120,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-06-30,-39,3482,0.41,134,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-07-01,375,7370,0.48,157,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-07-02,164,4730,0.44,145,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-07-03,325,4991,0.43,141,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-07-04,89,5404,0.42,137,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-07-05,162,6704,0.47,154,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-07-06,68,3355,0.37,120,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-07-07,22,6884,0.42,137,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-07-08,157,3685,0.45,146,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-07-09,-10,3358,0.36,119,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-07-10,-139,3614,0.40,131,327,slorepo_daily_public_table
shibuya_rakuen_ekimae,2026-07-11,358,6116,0.48,156,327,slorepo_daily_public_table
