hall_id,as_of_date,machine_key,machine_name,units,baseline_days,baseline_avg_diff,special_selected_n,momentum_selected_n,composite_score,type_label,source_name,notes
tsurumi_kiccho_komaoka,2026-06-28,smart_god,スマスロ ゴッドイーター リザレクション,4,0,,1,4,9.37,媒体選抜箇所・店全体非代表,slopachi_selected_reports,6/28選抜4台平均+9370・4/4。
tsurumi_kiccho_komaoka,2026-06-28,enen2,スマスロ 炎炎ノ消防隊2,4,0,,2,7,7.41,媒体選抜箇所・店全体非代表,slopachi_selected_reports,3/8単機4台+7280、6/28はかぐや様との混合4台+7540。
tsurumi_kiccho_komaoka,2026-06-28,kaguya,Lパチスロ かぐや様は告らせたい,2,0,,2,5,6.01,媒体選抜箇所・店全体非代表,slopachi_selected_reports,3/8単機4台+4470、6/28炎炎2との混合4台+7540。
tsurumi_kiccho_komaoka,2026-06-28,hokuto_tensei2,スマスロ 北斗の拳 転生の章2,4,0,,2,5,4.04,媒体選抜箇所・店全体非代表,slopachi_selected_reports,3/8選抜+4660、6/28選抜+3410。
tsurumi_kiccho_komaoka,2026-06-28,smart_hokuto,スマスロ 北斗の拳,4,0,,1,4,3.4,媒体選抜箇所・店全体非代表,slopachi_selected_reports,6/28選抜4台+3400・4/4。
tsurumi_kiccho_komaoka,2026-06-28,tokyo_ghoul,L 東京喰種,4,0,,1,2,3.09,媒体選抜箇所・店全体非代表,slopachi_selected_reports,6/28選抜4台+3090。
tsurumi_kiccho_komaoka,2026-03-08,vvv2,Lパチスロ 革命機ヴァルヴレイヴ2,4,0,,1,4,5.68,媒体選抜箇所・店全体非代表,slopachi_selected_reports,3/8選抜4台+5680・4/4。
tsurumi_kiccho_komaoka,2026-03-08,dmc5st,スマスロ デビルメイクライ5 スタイリッシュトライブ,4,0,,1,3,4.7,媒体選抜箇所・店全体非代表,slopachi_selected_reports,3/8選抜4台+4700。
tsurumi_kiccho_komaoka,2026-01-18,shin_onimusha3,スマスロ 新鬼武者3,4,0,,1,3,6.36,媒体選抜箇所・店全体非代表,slopachi_selected_reports,1/18選抜4台+6360。
tsurumi_kiccho_komaoka,2026-06-28,happy3,ハッピージャグラーV III,4,0,,1,3,2.27,媒体選抜箇所・店全体非代表,slopachi_selected_reports,6/28選抜4台+2270、平均8620G。
