hall_id,result_date,signal_type,signal_value,source_name
"yokohama_slot_mm_tsunashima","2025-12-06","tail","末尾8","slorepo"
"yokohama_slot_mm_tsunashima","2025-12-13","machine","L戦国乙女４ 戦乱に閃く炯眼の軍師","slorepo"
"yokohama_slot_mm_tsunashima","2025-12-14","machine","L東京喰種","slorepo"
"yokohama_slot_mm_tsunashima","2025-12-16","machine","Lパチスロからくりサーカス","slorepo"
"yokohama_slot_mm_tsunashima","2025-12-16","machine","L東京喰種","slorepo"
"yokohama_slot_mm_tsunashima","2025-12-16","machine","スマスロ ゴッドイーター リザレクション","slorepo"
"yokohama_slot_mm_tsunashima","2025-12-16","machine","化物語","slorepo"
"yokohama_slot_mm_tsunashima","2025-12-16","tail","末尾3","slorepo"
"yokohama_slot_mm_tsunashima","2025-12-20","tail","末尾1","slorepo"
"yokohama_slot_mm_tsunashima","2025-12-25","machine","スマスロ 東京リベンジャーズ","slorepo"
"yokohama_slot_mm_tsunashima","2025-12-29","machine","Lパチスロ革命機ヴァルヴレイヴ2","slorepo"
"yokohama_slot_mm_tsunashima","2025-12-29","tail","末尾8","slorepo"
"yokohama_slot_mm_tsunashima","2026-01-06","machine","L戦国乙女４ 戦乱に閃く炯眼の軍師","slorepo"
"yokohama_slot_mm_tsunashima","2026-01-06","machine","スマスロ マギアレコード 魔法少女まどか☆マギカ外伝","slorepo"
"yokohama_slot_mm_tsunashima","2026-01-06","tail","末尾1","slorepo"
"yokohama_slot_mm_tsunashima","2026-01-10","machine","L戦国乙女４ 戦乱に閃く炯眼の軍師","slorepo"
"yokohama_slot_mm_tsunashima","2026-01-10","machine","スマスロ化物語","slorepo"
"yokohama_slot_mm_tsunashima","2026-01-13","machine","北斗の拳 転生の章2","slorepo"
"yokohama_slot_mm_tsunashima","2026-01-13","tail","末尾7","slorepo"
"yokohama_slot_mm_tsunashima","2026-01-15","machine","北斗の拳 転生の章2","slorepo"
"yokohama_slot_mm_tsunashima","2026-01-16","machine","パチスロ 甲鉄城のカバネリ","slorepo"
"yokohama_slot_mm_tsunashima","2026-01-16","tail","末尾2","slorepo"
"yokohama_slot_mm_tsunashima","2026-01-16","tail","末尾8","slorepo"
"yokohama_slot_mm_tsunashima","2026-01-25","machine","鉄拳6","slorepo"
"yokohama_slot_mm_tsunashima","2026-01-26","machine","スマスロ痛いのは嫌なので防御力に極振りしたいと思います。","slorepo"
"yokohama_slot_mm_tsunashima","2026-02-03","machine","スマスロ北斗の拳 転生の章2","slorepo"
"yokohama_slot_mm_tsunashima","2026-02-06","machine","いざ！番長","slorepo"
"yokohama_slot_mm_tsunashima","2026-02-06","machine","ゴーゴージャグラー３","slorepo"
"yokohama_slot_mm_tsunashima","2026-02-06","machine","スマスロ ゴッドイーター リザレクション","slorepo"
"yokohama_slot_mm_tsunashima","2026-02-06","machine","スマスロ スーパーブラックジャック","slorepo"
"yokohama_slot_mm_tsunashima","2026-02-06","tail","末尾9","slorepo"
