hall_id,as_of_date,machine_name,units,baseline_days,baseline_avg_diff,avg_games,source_name
"yokohama_slot_mm_tsunashima","2026-06-01","スマスロ マギアレコード 魔法少女まどか☆マギカ外伝",6,90,31,1915,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","L戦国乙女４ 戦乱に閃く炯眼の軍師",5,90,78,1648,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","スマスロモンキーターンV",5,90,-38,1500,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","L東京喰種",4,90,-335,2346,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","スマスロ化物語",4,90,58,2008,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","スマスロ スーパーブラックジャック",4,90,-147,1576,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","スマスロ 東京リベンジャーズ",4,90,207,1722,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","Lパチスロからくりサーカス",4,90,58,1168,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","Lスマスロ北斗の拳",4,90,176,1635,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","Lパチスロ かぐや様は告らせたい",4,90,-206,1639,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","スマスロ北斗の拳 転生の章2",4,90,207,2444,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","スマスロ ミリオンゴッド-神々の軌跡-",4,90,-1978,5411,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","ゴーゴージャグラー３",3,90,-33,2799,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","回胴式遊技機グランベルム",3,90,181,1295,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","スマスロ ハナビ",3,90,-107,3774,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.",3,90,72,2030,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART",3,90,61,1914,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","パチスロ 甲鉄城のカバネリ",3,90,138,1285,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","スマスロ痛いのは嫌なので防御力に極振りしたいと思います。",3,90,70,1741,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","スマスロ ゴッドイーター リザレクション",3,90,68,1122,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","スマスロ バイオハザードRE:3",3,90,-374,1803,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","スマスロ鉄拳6",3,90,-91,1734,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","真打 吉宗",2,90,-43,3131,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","ジャグラーガールズSS",2,90,36,2454,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","スマスロ モンスターハンターライズ",2,90,-86,970,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","ニューパルサーSP4 with 太鼓の達人",2,90,-3,1119,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","アレックス ブライト",2,90,18,2636,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","スマスロ新鬼武者3",2,90,-127,811,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","スマスロ 攻殻機動隊",2,90,-24,2654,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","L ToLOVEるダークネス",2,90,-149,1040,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","スマスロ 甲鉄城のカバネリ 海門決戦",2,90,-270,4182,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","ファミスタ回胴版!!",2,90,-86,1114,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","いざ！番長",2,90,-102,1172,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","クランキークレスト",2,90,11,2343,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","バーサスリヴァイズ",2,90,99,2567,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","ファンキージャグラー２ＫＴ",2,90,2,2928,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","L少女☆歌劇 レヴュースタァライト -The SLOT-",2,90,-127,2680,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","Lアズールレーン THE ANIMATION",2,90,717,2122,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","スマスロ サンダーV",1,90,-152,4559,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","Lルパン三世 大航海者の秘宝",1,90,117,728,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","L麻雀物語",1,90,316,1724,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","スマスロ秘宝伝",1,90,-119,1128,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","押忍！番長4",1,90,-145,976,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","スマスロ ギルティクラウン2",1,90,-115,556,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","スマスロとある科学の超電磁砲2",1,90,-177,1728,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","マタドールIII",1,90,-49,727,"slorepo"
"yokohama_slot_mm_tsunashima","2026-06-01","ToLOVEるダークネス TRANCE ver.8.7",1,90,-237,1506,"slorepo"
