hall_id,as_of_date,machine_key,machine_name,units,baseline_days,baseline_avg_diff,special_selected_n,momentum_selected_n,composite_score,type_label,source_name,notes
"yokohama_slot_mm_tsunashima","2026-06-24","mm_001","L東京喰種",4,90,-335,5,2,2.4832,"特定日特化","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_002","スマスロ痛いのは嫌なので防御力に極振りしたいと思います。",3,90,70,3,2,2.0658,"常用+特定日","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_003","スマスロ 東京リベンジャーズ",4,90,207,2,2,1.7970,"常用+特定日","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_004","L戦国乙女４ 戦乱に閃く炯眼の軍師",5,90,78,3,1,1.5787,"常用+特定日","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_005","クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.",3,90,72,3,1,1.5732,"常用+特定日","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_006","スマスロ化物語",4,90,58,3,1,1.5603,"常用+特定日","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_007","回胴式遊技機グランベルム",3,90,181,2,1,1.2787,"常用+特定日","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_008","Lスマスロ北斗の拳",4,90,176,2,0,0.7796,"常用+特定日","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_009","スマスロ ハナビ",3,90,-107,1,1,0.6195,"低優先","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_010","Lアズールレーン THE ANIMATION",2,90,717,0,0,0.4872,"平常ベース型","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_011","スマスロ北斗の拳 転生の章2",4,90,207,1,0,0.4134,"常用+特定日","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_012","交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART",3,90,61,0,1,0.3792,"平常ベース型","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_013","スマスロモンキーターンV",5,90,-38,1,0,0.1884,"低優先","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_014","スマスロ鉄拳6",3,90,-91,1,0,0.1397,"低優先","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_015","Lパチスロ かぐや様は告らせたい",4,90,-206,0,1,0.1339,"低優先","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_016","L麻雀物語",1,90,316,0,0,0.1189,"平常ベース型","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_017","スマスロ スーパーブラックジャック",4,90,-147,1,0,0.0883,"低優先","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_018","パチスロ 甲鉄城のカバネリ",3,90,138,0,0,-0.0446,"平常ベース型","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_019","Lルパン三世 大航海者の秘宝",1,90,117,0,0,-0.0639,"平常ベース型","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_020","バーサスリヴァイズ",2,90,99,0,0,-0.0804,"平常ベース型","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_021","ネオプラネット",1,90,93,0,0,-0.0859,"平常ベース型","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_022","スマスロ ゴッドイーター リザレクション",3,90,68,0,0,-0.1089,"平常ベース型","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_023","Lパチスロからくりサーカス",4,90,58,0,0,-0.1181,"平常ベース型","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_024","不二子BT",1,90,58,0,0,-0.1181,"平常ベース型","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_025","ジャグラーガールズSS",2,90,36,0,0,-0.1383,"平常ベース型","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_026","主役は銭形5",1,90,34,0,0,-0.1401,"平常ベース型","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_027","ウルトラミラクルジャグラー",1,90,33,0,0,-0.1410,"平常ベース型","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_028","スマスロ マギアレコード 魔法少女まどか☆マギカ外伝",6,90,31,0,0,-0.1429,"平常ベース型","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_029","アレックス ブライト",2,90,18,0,0,-0.1548,"平常ベース型","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_030","クランキークレスト",2,90,11,0,0,-0.1612,"平常ベース型","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_031","ファンキージャグラー２ＫＴ",2,90,2,0,0,-0.1695,"平常ベース型","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_032","ニューパルサーSP4 with 太鼓の達人",2,90,-3,0,0,-0.1741,"低優先","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_033","スマスロ 攻殻機動隊",2,90,-24,0,0,-0.1934,"低優先","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
"yokohama_slot_mm_tsunashima","2026-06-24","mm_034","ゴーゴージャグラー３",3,90,-33,0,0,-0.2016,"低優先","slorepo","A=2026-03-04〜06-01の公開90日機種表。B=2026-03-27〜06-24の旧イベ（3/6のつく日）17日での優秀機種選抜回数。C=2026-05-26〜06-24の全30日選抜回数。S=0.40z(B)+0.35z(A)+0.25z(C)。A表は23日遅延。"
