hall_id,as_of_date,machine_key,machine_name,units,baseline_days,baseline_avg_diff,special_selected_n,momentum_selected_n,composite_score,type_label,source_name,notes
toyoko_redrock_gakugei,2026-07-12,rr_001,"化物語",,0,,3,4,1.996,"特定日＋継続候補（A未取得）",slorepo+hall-navi,"A=90日平常投入度は公開月間表の鮮度不整合により欠損。B=2026-04-14〜07-12の6/9系18日、C=2026-06-13〜07-12の全30日。S_BC=(0.40zB+0.25zC)/0.65の暫定値。HallNavi 直近178日A代理=-3枚（正式Aには不採用）"
toyoko_redrock_gakugei,2026-07-12,rr_002,"東京リベンジャーズ",,0,,3,4,1.996,"特定日＋継続候補（A未取得）",slorepo+hall-navi,"A=90日平常投入度は公開月間表の鮮度不整合により欠損。B=2026-04-14〜07-12の6/9系18日、C=2026-06-13〜07-12の全30日。S_BC=(0.40zB+0.25zC)/0.65の暫定値。HallNavi 直近178日A代理=107枚（正式Aには不採用）"
toyoko_redrock_gakugei,2026-07-12,rr_003,"炎炎ノ消防隊2",,0,,2,4,1.3508,"特定日＋継続候補（A未取得）",slorepo+hall-navi,"A=90日平常投入度は公開月間表の鮮度不整合により欠損。B=2026-04-14〜07-12の6/9系18日、C=2026-06-13〜07-12の全30日。S_BC=(0.40zB+0.25zC)/0.65の暫定値"
toyoko_redrock_gakugei,2026-07-12,rr_004,"戦国乙女5 業火を穿つ宿焔の双刃",,0,,1,5,0.9553,"モメンタム候補（A未取得）",slorepo+hall-navi,"A=90日平常投入度は公開月間表の鮮度不整合により欠損。B=2026-04-14〜07-12の6/9系18日、C=2026-06-13〜07-12の全30日。S_BC=(0.40zB+0.25zC)/0.65の暫定値"
toyoko_redrock_gakugei,2026-07-12,rr_005,"ミリオンゴッド-神々の軌跡-",,0,,2,1,0.6018,"特定日候補（A未取得）",slorepo+hall-navi,"A=90日平常投入度は公開月間表の鮮度不整合により欠損。B=2026-04-14〜07-12の6/9系18日、C=2026-06-13〜07-12の全30日。S_BC=(0.40zB+0.25zC)/0.65の暫定値"
toyoko_redrock_gakugei,2026-07-12,rr_006,"東京喰種",,0,,2,1,0.6018,"特定日候補（A未取得）",slorepo+hall-navi,"A=90日平常投入度は公開月間表の鮮度不整合により欠損。B=2026-04-14〜07-12の6/9系18日、C=2026-06-13〜07-12の全30日。S_BC=(0.40zB+0.25zC)/0.65の暫定値。HallNavi 直近178日A代理=28枚（正式Aには不採用）"
toyoko_redrock_gakugei,2026-07-12,rr_007,"秘宝伝",,0,,2,1,0.6018,"特定日候補（A未取得）",slorepo+hall-navi,"A=90日平常投入度は公開月間表の鮮度不整合により欠損。B=2026-04-14〜07-12の6/9系18日、C=2026-06-13〜07-12の全30日。S_BC=(0.40zB+0.25zC)/0.65の暫定値"
toyoko_redrock_gakugei,2026-07-12,rr_008,"鉄拳6",,0,,2,0,0.3522,"特定日候補（A未取得）",slorepo+hall-navi,"A=90日平常投入度は公開月間表の鮮度不整合により欠損。B=2026-04-14〜07-12の6/9系18日、C=2026-06-13〜07-12の全30日。S_BC=(0.40zB+0.25zC)/0.65の暫定値。HallNavi 直近178日A代理=24枚（正式Aには不採用）"
toyoko_redrock_gakugei,2026-07-12,rr_009,"北斗の拳 転生の章2",,0,,2,0,0.3522,"特定日候補（A未取得）",slorepo+hall-navi,"A=90日平常投入度は公開月間表の鮮度不整合により欠損。B=2026-04-14〜07-12の6/9系18日、C=2026-06-13〜07-12の全30日。S_BC=(0.40zB+0.25zC)/0.65の暫定値。HallNavi 直近178日A代理=62枚（正式Aには不採用）"
toyoko_redrock_gakugei,2026-07-12,rr_010,"からくりサーカス",,0,,1,1,-0.0434,"特定日単発（A未取得）",slorepo+hall-navi,"A=90日平常投入度は公開月間表の鮮度不整合により欠損。B=2026-04-14〜07-12の6/9系18日、C=2026-06-13〜07-12の全30日。S_BC=(0.40zB+0.25zC)/0.65の暫定値。HallNavi 直近178日A代理=-18枚（正式Aには不採用）"
toyoko_redrock_gakugei,2026-07-12,rr_011,"スマスロ北斗の拳",,0,,1,1,-0.0434,"特定日単発（A未取得）",slorepo+hall-navi,"A=90日平常投入度は公開月間表の鮮度不整合により欠損。B=2026-04-14〜07-12の6/9系18日、C=2026-06-13〜07-12の全30日。S_BC=(0.40zB+0.25zC)/0.65の暫定値"
toyoko_redrock_gakugei,2026-07-12,rr_012,"かぐや様は告らせたい",,0,,1,0,-0.293,"特定日単発（A未取得）",slorepo+hall-navi,"A=90日平常投入度は公開月間表の鮮度不整合により欠損。B=2026-04-14〜07-12の6/9系18日、C=2026-06-13〜07-12の全30日。S_BC=(0.40zB+0.25zC)/0.65の暫定値"
toyoko_redrock_gakugei,2026-07-12,rr_013,"バイオハザード5",,0,,1,0,-0.293,"特定日単発（A未取得）",slorepo+hall-navi,"A=90日平常投入度は公開月間表の鮮度不整合により欠損。B=2026-04-14〜07-12の6/9系18日、C=2026-06-13〜07-12の全30日。S_BC=(0.40zB+0.25zC)/0.65の暫定値"
toyoko_redrock_gakugei,2026-07-12,rr_014,"バイオハザードRE:3",,0,,1,0,-0.293,"特定日単発（A未取得）",slorepo+hall-navi,"A=90日平常投入度は公開月間表の鮮度不整合により欠損。B=2026-04-14〜07-12の6/9系18日、C=2026-06-13〜07-12の全30日。S_BC=(0.40zB+0.25zC)/0.65の暫定値"
toyoko_redrock_gakugei,2026-07-12,rr_015,"ハッピージャグラーＶＩＩＩ",,0,,1,0,-0.293,"特定日単発（A未取得）",slorepo+hall-navi,"A=90日平常投入度は公開月間表の鮮度不整合により欠損。B=2026-04-14〜07-12の6/9系18日、C=2026-06-13〜07-12の全30日。S_BC=(0.40zB+0.25zC)/0.65の暫定値"
toyoko_redrock_gakugei,2026-07-12,rr_016,"機動戦士ガンダムユニコーン 覚醒DRIVE",,0,,1,0,-0.293,"特定日単発（A未取得）",slorepo+hall-navi,"A=90日平常投入度は公開月間表の鮮度不整合により欠損。B=2026-04-14〜07-12の6/9系18日、C=2026-06-13〜07-12の全30日。S_BC=(0.40zB+0.25zC)/0.65の暫定値"
