hall_id,as_of_date,machine_key,machine_name,units,baseline_days,baseline_avg_diff,special_selected_n,momentum_selected_n,composite_score,type_label,source_name,notes
tsurumi_uno,2026-07-13,tu_c90f2a9f22,スマスロ 東京リベンジャーズ,3,24,766,0,0,3.0698,公開機種集計・暫定,slorepo_machine_aggregate,公開ページの直近集計に基づく暫定値。期間表示に曖昧さがあるため店日予測・着席推奨には未使用。
tsurumi_uno,2026-07-13,tu_a47d899231,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3,24,248,0,0,0.0765,公開機種集計・暫定,slorepo_machine_aggregate,公開ページの直近集計に基づく暫定値。期間表示に曖昧さがあるため店日予測・着席推奨には未使用。
tsurumi_uno,2026-07-13,tu_0a1cd216db,ジャグラーガールズSS,6,24,234,0,0,0.5557,公開機種集計・暫定,slorepo_machine_aggregate,公開ページの直近集計に基づく暫定値。期間表示に曖昧さがあるため店日予測・着席推奨には未使用。
tsurumi_uno,2026-07-13,tu_c68a041040,スマスロ スーパーブラックジャック,4,24,217,0,0,0.0913,公開機種集計・暫定,slorepo_machine_aggregate,公開ページの直近集計に基づく暫定値。期間表示に曖昧さがあるため店日予測・着席推奨には未使用。
tsurumi_uno,2026-07-13,tu_c7c02d5545,L東京喰種,14,24,185,0,0,0.9528,公開機種集計・暫定,slorepo_machine_aggregate,公開ページの直近集計に基づく暫定値。期間表示に曖昧さがあるため店日予測・着席推奨には未使用。
tsurumi_uno,2026-07-13,tu_e199f4b58d,スマスロ ゴッドイーター リザレクション,3,24,154,0,0,-0.4667,公開機種集計・暫定,slorepo_machine_aggregate,公開ページの直近集計に基づく暫定値。期間表示に曖昧さがあるため店日予測・着席推奨には未使用。
tsurumi_uno,2026-07-13,tu_d6236263c0,ゴーゴージャグラー３,10,24,132,0,0,0.036,公開機種集計・暫定,slorepo_machine_aggregate,公開ページの直近集計に基づく暫定値。期間表示に曖昧さがあるため店日予測・着席推奨には未使用。
tsurumi_uno,2026-07-13,tu_26ddb72138,マイジャグラーV,17,24,130,0,0,0.4316,公開機種集計・暫定,slorepo_machine_aggregate,公開ページの直近集計に基づく暫定値。期間表示に曖昧さがあるため店日予測・着席推奨には未使用。
tsurumi_uno,2026-07-13,tu_b985677db9,スマスロ北斗の拳 転生の章2,14,24,114,0,0,0.0665,公開機種集計・暫定,slorepo_machine_aggregate,公開ページの直近集計に基づく暫定値。期間表示に曖昧さがあるため店日予測・着席推奨には未使用。
tsurumi_uno,2026-07-13,tu_e00be786bd,ファンキージャグラー２ＫＴ,5,24,95,0,0,-0.6479,公開機種集計・暫定,slorepo_machine_aggregate,公開ページの直近集計に基づく暫定値。期間表示に曖昧さがあるため店日予測・着席推奨には未使用。
tsurumi_uno,2026-07-13,tu_3302850d31,スマスロ鉄拳6,4,24,94,0,0,-0.7294,公開機種集計・暫定,slorepo_machine_aggregate,公開ページの直近集計に基づく暫定値。期間表示に曖昧さがあるため店日予測・着席推奨には未使用。
tsurumi_uno,2026-07-13,tu_33f9d50dd8,いざ！番長,3,24,91,0,0,-0.8308,公開機種集計・暫定,slorepo_machine_aggregate,公開ページの直近集計に基づく暫定値。期間表示に曖昧さがあるため店日予測・着席推奨には未使用。
tsurumi_uno,2026-07-13,tu_33f0f56692,ミスタージャグラー,3,24,78,0,0,-0.9059,公開機種集計・暫定,slorepo_machine_aggregate,公開ページの直近集計に基づく暫定値。期間表示に曖昧さがあるため店日予測・着席推奨には未使用。
tsurumi_uno,2026-07-13,tu_07bc149e50,スマスロ化物語,7,24,71,0,0,-0.7299,公開機種集計・暫定,slorepo_machine_aggregate,公開ページの直近集計に基づく暫定値。期間表示に曖昧さがあるため店日予測・着席推奨には未使用。
tsurumi_uno,2026-07-13,tu_a9d1920093,スマスロ サンダーV,3,24,67,0,0,-0.9695,公開機種集計・暫定,slorepo_machine_aggregate,公開ページの直近集計に基づく暫定値。期間表示に曖昧さがあるため店日予測・着席推奨には未使用。
