hall_id,result_date,avg_diff,total_diff,avg_games,machine_win_rate,winning_units,total_units,source_name
ikebukuro_yasuda7,2026-01-01,440,,3980,,,255,slorepo
ikebukuro_yasuda7,2026-01-02,-230,,2347,,,255,slorepo
ikebukuro_yasuda7,2026-01-03,-250,,2978,,,255,slorepo
ikebukuro_yasuda7,2026-01-04,-138,,2740,,,255,slorepo
ikebukuro_yasuda7,2026-01-05,156,,3065,,,255,slorepo
ikebukuro_yasuda7,2026-01-06,-167,,1930,,,255,slorepo
ikebukuro_yasuda7,2026-01-07,332,,4884,,,255,slorepo
ikebukuro_yasuda7,2026-01-08,132,,2134,,,255,slorepo
ikebukuro_yasuda7,2026-01-09,-93,,2750,,,255,slorepo
ikebukuro_yasuda7,2026-01-10,-114,,3152,,,255,slorepo
ikebukuro_yasuda7,2026-01-11,69,,4674,,,255,slorepo
ikebukuro_yasuda7,2026-01-12,-167,,3230,,,255,slorepo
ikebukuro_yasuda7,2026-01-13,-197,,2175,,,255,slorepo
ikebukuro_yasuda7,2026-01-14,255,,1906,,,255,slorepo
ikebukuro_yasuda7,2026-01-15,169,,2383,,,255,slorepo
ikebukuro_yasuda7,2026-01-16,60,,1990,,,255,slorepo
ikebukuro_yasuda7,2026-01-17,395,,5101,,,255,slorepo
ikebukuro_yasuda7,2026-01-18,210,,2924,,,255,slorepo
ikebukuro_yasuda7,2026-01-19,202,,2124,,,255,slorepo
ikebukuro_yasuda7,2026-01-20,56,,1766,,,255,slorepo
ikebukuro_yasuda7,2026-01-21,-22,,2665,,,255,slorepo
ikebukuro_yasuda7,2026-01-22,230,,2353,,,255,slorepo
ikebukuro_yasuda7,2026-01-23,71,,2417,,,255,slorepo
ikebukuro_yasuda7,2026-01-24,-413,,3296,,,255,slorepo
ikebukuro_yasuda7,2026-01-25,137,,3378,,,255,slorepo
ikebukuro_yasuda7,2026-01-26,198,,2320,,,255,slorepo
ikebukuro_yasuda7,2026-01-27,187,,4616,,,255,slorepo
ikebukuro_yasuda7,2026-01-28,109,,2154,,,255,slorepo
ikebukuro_yasuda7,2026-01-29,85,,2308,,,255,slorepo
ikebukuro_yasuda7,2026-01-30,-24,,1540,,,255,slorepo
ikebukuro_yasuda7,2026-01-31,-557,,3491,,,255,slorepo
ikebukuro_yasuda7,2026-02-01,310,,4434,,,255,slorepo
ikebukuro_yasuda7,2026-02-02,260,,3815,,,255,slorepo
ikebukuro_yasuda7,2026-02-03,183,,1874,,,255,slorepo
ikebukuro_yasuda7,2026-02-04,-98,,1811,,,255,slorepo
ikebukuro_yasuda7,2026-02-05,33,,2229,,,255,slorepo
ikebukuro_yasuda7,2026-02-06,-108,,1949,,,255,slorepo
ikebukuro_yasuda7,2026-02-07,-55,,5076,,,255,slorepo
ikebukuro_yasuda7,2026-02-08,-10,,2420,,,255,slorepo
ikebukuro_yasuda7,2026-02-09,-332,,2018,,,255,slorepo
ikebukuro_yasuda7,2026-02-10,86,,1551,,,255,slorepo
ikebukuro_yasuda7,2026-02-11,-23,,4299,,,255,slorepo
ikebukuro_yasuda7,2026-02-12,27,,1738,,,255,slorepo
ikebukuro_yasuda7,2026-02-13,13,,2049,,,255,slorepo
ikebukuro_yasuda7,2026-02-14,-156,,2884,,,255,slorepo
ikebukuro_yasuda7,2026-02-15,-216,,3599,,,255,slorepo
ikebukuro_yasuda7,2026-02-16,104,,1865,,,255,slorepo
ikebukuro_yasuda7,2026-02-17,473,,4268,,,255,slorepo
ikebukuro_yasuda7,2026-02-18,-87,,1856,,,255,slorepo
ikebukuro_yasuda7,2026-02-19,-113,,1910,,,255,slorepo
ikebukuro_yasuda7,2026-02-20,93,,1635,,,255,slorepo
ikebukuro_yasuda7,2026-02-21,-238,,3541,,,255,slorepo
ikebukuro_yasuda7,2026-02-22,767,,4863,,,255,slorepo
ikebukuro_yasuda7,2026-02-23,-40,,3008,,,255,slorepo
ikebukuro_yasuda7,2026-02-24,-82,,1767,,,255,slorepo
ikebukuro_yasuda7,2026-02-25,-28,,2011,,,255,slorepo
ikebukuro_yasuda7,2026-02-26,73,,1980,,,255,slorepo
ikebukuro_yasuda7,2026-02-27,248,,4605,,,255,slorepo
ikebukuro_yasuda7,2026-02-28,-281,,3480,,,255,slorepo
ikebukuro_yasuda7,2026-03-01,20,,4898,,,255,slorepo
ikebukuro_yasuda7,2026-03-02,-101,,2346,,,255,slorepo
ikebukuro_yasuda7,2026-03-03,-56,,4091,,,255,slorepo
ikebukuro_yasuda7,2026-03-04,137,,1707,,,255,slorepo
ikebukuro_yasuda7,2026-03-05,-66,,1932,,,255,slorepo
ikebukuro_yasuda7,2026-03-06,-87,,1816,,,255,slorepo
ikebukuro_yasuda7,2026-03-07,293,,4870,,,255,slorepo
ikebukuro_yasuda7,2026-03-08,62,,2789,,,255,slorepo
ikebukuro_yasuda7,2026-03-09,-133,,2206,,,255,slorepo
