hall_id,result_date,avg_diff,total_diff,avg_games,machine_win_rate,winning_units,total_units,source_name
center_minami_ziath,2026-01-11,524,136714,5975,,,261,minrepo_11th_full_summary
center_minami_ziath,2026-02-11,121,31603,5824,,,261,minrepo_11th_full_summary
center_minami_ziath,2026-03-11,3,889,2260,,,261,minrepo_11th_full_summary
center_minami_ziath,2026-04-11,327,85366,5791,,,261,minrepo_11th_full_summary
center_minami_ziath,2026-05-11,-169.1302681992337,-44143,2032,0.27586206896551724,72,261,minrepo_11th_full261_reconstructed
center_minami_ziath,2026-06-11,253,66154,4126,,,261,minrepo_11th_full_summary
center_minami_ziath,2026-07-11,-318.116,-79529,4647,0.388,97,250,minrepo_11th_full250_reconstructed
center_minami_ziath,2026-01-21,-68.95402298850574,-17997,2881,0.32567049808429116,85,261,minrepo_21st_full261_reconstructed
center_minami_ziath,2026-02-21,-227.2183908045977,-59304,,,,261,minrepo_21st_full261_reconstructed
center_minami_ziath,2026-03-21,417,108709,5277,,,261,minrepo_21st_full_summary
center_minami_ziath,2026-04-21,77,20151,2209,,,261,minrepo_21st_full_summary
center_minami_ziath,2026-05-21,-125.51724137931035,-32760,,,,261,minrepo_21st_full261_reconstructed
center_minami_ziath,2026-06-21,113,28265,3546,,,250,minrepo_21st_full_summary
center_minami_ziath,2026-05-03,499,130260,7755,,,261,minrepo_anniversary_full_summary
